student_id,age,grade,homework_completion,practice_tests_avg,class_participation,geometry_score,algebra1_score,recent_quiz_avg,study_hours_per_week,at_risk
S375,10,7,91.59,68.35,4.82,53.25,78.42,76.01,5.28,0
S376,12,7,100.0,61.73,6.18,88.54,86.75,71.97,6.99,0
S377,13,6,83.23,72.41,4.79,67.66,64.35,68.84,2.22,0
S378,11,8,77.02,100.0,6.57,61.78,77.5,52.07,5.32,0
S379,11,8,71.21,54.42,6.38,72.4,46.96,91.76,2.81,1
S380,14,8,77.69,50.8,8.56,77.53,64.98,97.11,2.05,1
S381,11,8,84.67,97.07,9.62,86.76,71.63,44.76,3.52,0
S382,14,8,100.0,71.86,9.79,91.73,61.08,54.64,7.38,0
S383,10,8,79.82,64.96,5.88,64.6,60.76,65.8,6.9,0
S384,13,5,87.24,90.6,6.58,50.11,63.99,55.53,5.49,0
S385,14,7,84.84,65.92,3.63,63.8,75.51,77.59,1.93,0
S386,10,8,96.88,100.0,5.39,73.9,69.75,59.08,4.61,0
S387,11,7,100.0,85.17,8.93,55.54,45.14,100.0,5.6,0
S388,11,7,79.69,67.68,10.0,55.64,46.55,87.86,5.35,0
S389,10,5,80.11,100.0,4.53,75.16,64.72,73.19,1.31,0
S390,11,8,95.44,65.91,5.82,69.27,77.49,85.4,3.22,0
S391,10,6,91.82,86.13,6.95,70.49,40.0,86.59,4.87,0
S392,14,5,100.0,79.49,7.56,58.62,66.0,61.54,6.07,0
S393,14,6,90.84,94.53,5.38,66.54,65.69,57.76,0.61,0
S394,10,7,81.41,98.42,7.85,56.14,88.66,71.17,4.68,0
S395,14,7,90.91,75.48,6.05,83.35,67.38,82.92,5.29,0
S396,14,5,96.09,63.7,6.97,85.53,76.6,72.09,6.7,0
S397,14,5,93.2,81.9,8.09,42.31,73.7,46.35,6.39,1
S398,12,6,90.07,64.83,7.01,56.06,46.43,57.96,6.17,0
S399,13,8,95.67,100.0,6.13,47.55,81.22,68.89,3.4,1
S400,11,6,96.69,77.05,6.78,60.25,74.58,68.87,1.18,0
S401,12,5,98.82,69.52,6.82,68.75,78.1,99.59,4.21,0
S402,14,6,91.49,77.77,6.26,48.26,100.0,49.21,7.0,1
S403,10,5,83.33,54.79,6.48,56.17,46.99,77.58,7.79,1
S404,14,6,86.47,60.43,10.0,54.94,92.7,92.34,6.42,0
S405,13,5,97.07,93.01,8.12,73.11,68.55,100.0,5.86,0
S406,14,5,76.83,65.15,6.41,71.04,75.45,63.93,5.76,0
S407,10,5,88.69,59.3,8.39,59.17,71.45,77.37,3.89,1
S408,13,8,81.07,83.05,6.33,72.65,66.91,78.55,4.74,0
S409,14,6,85.29,92.79,9.35,61.8,65.16,72.93,8.34,0
S410,13,6,97.78,85.78,7.74,65.93,75.95,68.52,3.11,0
S411,11,6,86.91,89.94,6.79,95.1,53.79,76.54,8.23,0
S412,11,5,85.46,63.65,7.9,90.11,81.01,32.02,4.36,0
S413,14,6,71.4,53.67,3.86,50.51,67.01,80.23,7.65,1
S414,13,6,92.46,97.52,4.75,82.45,58.44,71.89,2.19,0
S415,10,5,91.45,70.16,4.61,82.17,66.6,66.66,6.17,0
S416,14,7,100.0,71.24,7.29,52.78,87.09,100.0,3.53,0
S417,11,5,81.92,94.92,10.0,82.28,65.58,59.88,2.17,0
S418,11,6,87.19,83.34,10.0,93.07,76.3,63.95,5.44,0
S419,14,5,87.49,81.84,8.28,53.16,63.23,99.87,7.02,0
S420,13,7,100.0,100.0,8.0,56.24,81.1,57.52,3.31,0
S421,11,5,84.05,65.35,3.4,85.26,80.23,61.75,2.0,0
S422,13,6,87.79,88.92,5.91,74.07,94.18,67.79,4.82,0
S423,11,7,91.08,75.86,5.42,78.27,69.89,82.61,4.83,0
S424,11,8,86.87,79.03,5.76,75.11,80.02,73.12,6.1,0
S425,12,6,80.54,97.93,6.66,75.86,73.18,50.61,6.9,0
S426,11,7,86.94,82.62,6.06,50.1,87.55,62.02,4.88,0
S427,10,7,95.74,83.07,3.04,85.71,63.37,60.89,8.71,0
S428,14,8,74.73,91.09,8.5,87.54,80.94,68.84,5.45,0
S429,14,5,86.33,69.53,4.85,66.56,69.66,76.39,4.31,0
S430,13,5,78.0,62.41,7.48,69.35,71.23,76.27,1.78,0
S431,11,6,96.95,59.33,10.0,47.03,73.1,43.36,4.47,1
S432,10,8,69.77,45.5,5.16,77.71,75.03,85.96,4.33,1
S433,13,5,79.41,100.0,1.94,78.58,70.61,73.79,6.92,0
S434,12,8,88.77,58.45,6.43,69.07,74.58,90.77,5.92,1
S435,13,5,100.0,71.68,9.2,86.87,90.94,76.66,2.64,0
S436,13,7,84.34,70.85,10.0,64.99,83.83,86.52,5.34,0
S437,11,5,79.45,79.61,4.54,78.47,82.43,77.0,6.34,0
S438,12,8,100.0,87.24,7.99,54.71,66.53,90.19,8.06,0
S439,13,7,70.52,87.91,6.07,69.65,61.33,77.83,6.78,0
S440,10,7,63.01,66.25,6.79,67.38,83.46,68.53,6.52,0
S441,10,7,89.4,72.49,10.0,73.38,82.51,100.0,5.12,0
S442,14,8,79.98,79.24,3.99,64.46,89.67,83.34,5.78,0
S443,12,6,74.79,71.27,7.51,68.03,64.75,78.61,7.5,0
S444,12,6,92.08,99.11,7.94,82.39,69.25,50.86,2.33,0
S445,14,6,87.44,82.36,9.17,63.45,52.33,50.68,4.3,0
S446,13,8,79.36,86.02,7.2,45.9,67.29,74.39,3.45,1
S447,12,7,72.2,84.94,7.62,96.24,83.96,72.18,5.76,0
S448,10,6,93.72,92.6,6.22,90.72,66.4,60.79,7.46,0
S449,10,8,91.5,77.72,7.54,50.62,79.69,72.11,3.81,0
S450,11,6,84.01,55.55,6.31,80.35,69.71,93.83,0.22,1
S451,12,5,100.0,81.0,8.24,62.46,75.89,80.43,4.18,0
S452,13,6,74.3,65.23,6.26,73.95,58.23,52.88,6.83,0
S453,14,6,69.74,67.07,7.75,74.41,73.02,68.33,6.08,0
S454,14,7,78.08,83.8,6.94,66.48,40.0,57.93,5.86,0
S455,13,8,84.54,93.57,9.25,58.24,69.76,64.18,4.44,0
S456,11,7,87.43,75.32,6.9,59.64,52.43,63.8,2.44,0
S457,14,7,82.59,79.63,3.45,56.26,86.47,62.84,6.03,0
S458,12,7,88.52,100.0,9.52,57.52,81.33,51.17,3.33,0
S459,11,7,72.48,78.61,5.19,68.99,77.6,68.09,9.37,0
S460,12,7,99.44,100.0,5.69,59.26,90.25,61.59,6.14,0
S461,10,6,84.18,83.48,5.81,80.23,60.61,30.0,3.84,0
S462,11,7,96.17,48.59,9.75,92.31,92.97,100.0,3.78,1
S463,14,7,88.43,86.3,2.73,61.3,83.19,86.33,4.81,0
S464,11,8,89.57,80.72,10.0,73.59,69.16,64.36,4.52,0
S465,11,5,90.7,94.35,9.11,77.5,85.63,70.28,7.23,0
S466,11,6,89.48,85.1,7.45,77.08,58.72,52.43,5.37,0
S467,11,6,91.43,72.92,6.89,71.14,62.11,95.44,3.54,0
S468,12,6,98.29,56.64,7.57,81.14,64.7,98.46,8.78,1
S469,10,7,86.97,71.86,8.04,77.23,65.65,72.35,5.1,0
S470,13,7,92.09,62.24,8.29,51.44,59.32,85.35,6.54,0
S471,11,7,84.1,66.29,8.11,83.04,86.68,72.63,3.78,0
S472,14,8,99.4,83.83,7.18,83.31,68.89,49.95,5.73,0
S473,11,5,78.24,100.0,6.61,58.55,76.23,63.82,5.62,0
S474,14,7,100.0,80.92,6.7,70.57,65.16,71.98,1.22,0
S475,12,5,84.6,57.06,6.61,80.25,50.15,63.18,9.03,1
S476,14,8,70.69,81.67,9.27,66.86,75.24,66.72,7.58,0
S477,13,6,86.28,92.95,8.19,86.09,49.05,68.63,4.21,0
S478,10,7,78.19,65.85,1.12,100.0,71.18,68.79,2.8,0
S479,14,5,93.41,72.99,8.31,58.21,55.58,70.78,5.7,0
S480,14,5,78.47,75.22,7.39,49.28,95.85,54.09,5.17,1
S481,10,7,80.54,63.23,6.96,74.56,82.94,59.24,5.71,0
S482,13,6,66.1,84.72,6.22,80.82,73.27,50.73,5.38,0
S483,11,6,80.48,73.19,9.25,66.54,87.16,84.67,6.01,0
S484,14,6,60.76,81.29,8.9,91.8,61.84,38.42,7.89,0
S485,10,8,69.16,61.69,5.45,49.92,78.52,87.3,6.14,1
S486,12,5,92.6,68.44,7.81,80.39,74.4,90.8,2.9,0
S487,10,5,92.86,85.84,5.06,60.91,75.17,65.47,7.73,0
S488,12,5,89.25,69.41,4.24,95.79,87.27,30.95,8.28,0
S489,13,8,75.33,100.0,5.75,99.89,80.79,64.58,10.0,0
S490,11,5,84.52,69.01,8.72,58.5,75.46,69.04,2.75,0
S491,10,8,84.96,78.37,8.91,61.76,52.14,54.84,5.49,0
S492,14,6,73.42,88.99,8.03,82.89,60.48,62.27,0.84,0
S493,13,7,100.0,53.72,8.45,64.19,70.53,92.95,6.11,1
S494,10,5,93.77,48.59,8.03,69.32,73.12,79.97,3.9,1
S495,14,5,82.79,52.12,5.72,70.38,58.44,56.13,8.85,1
S496,10,6,85.27,93.94,7.86,41.2,100.0,46.04,3.45,1
S497,12,7,87.08,66.72,8.6,69.79,90.2,65.09,1.62,0
S498,10,8,64.58,100.0,8.51,59.65,79.23,66.8,4.06,0
S499,10,7,82.53,66.54,9.38,62.6,72.86,77.44,1.05,0
S500,10,6,78.18,77.77,8.42,91.65,69.45,61.97,6.5,0
